chr	start	end	strand	ens	Symbol
chr3	151099851	151101851	+	ENSMUSG00000039167	Eltd1
chr4	117601368	117603368	-	ENSMUSG00000028539	Artn
chr5	144224361	144226361	+	ENSMUSG00000039206	Daglb
chr9	55173651	55175651	-	ENSMUSG00000032311	Nrg4
chr15	101857647	101859647	+	ENSMUSG00000023043	Krt18
chr11	116141253	116143253	+	ENSMUSG00000020793	Galr2
chr3	86351205	86353205	-	ENSMUSG00000057777	Mab21l2
chr4	33294966	33296966	+	ENSMUSG00000054679	Srsf12
chr1	75370587	75372587	-	ENSMUSG00000085653	Gm15179
chr2	13714435	13716435	-	ENSMUSG00000003418	St8sia6
chr15	55737504	55739504	-	ENSMUSG00000060429	Sntb1
chr12	86517246	86519246	-	ENSMUSG00000004791	Pgf
chr2	173402866	173404866	-	ENSMUSG00000027517	Ankrd60
chr9	26540313	26542313	+	ENSMUSG00000045994	B3gat1
chr1	75259783	75261783	-	ENSMUSG00000026204	Ptprn
chr11	120391013	120393013	+	ENSMUSG00000025127	Gcgr
chr13	25028270	25030270	+	ENSMUSG00000086448	9330162012Rik
chr15	76351559	76353559	-	ENSMUSG00000048385	Scrt1
chr5	65360557	65362557	+	ENSMUSG00000077042	Mir574
chr4	132529010	132531010	+	ENSMUSG00000028874	Fgr
chr19	12670056	12672056	-	ENSMUSG00000086213	A330040F15Rik
chr11	70067855	70069855	-	ENSMUSG00000000320	Alox12
chr5	120120374	120122374	-	ENSMUSG00000087516	Gm2301
chr8	36437795	36439795	+	ENSMUSG00000046794	Ppp1r3b
chr1	66908851	66910851	-	ENSMUSG00000026003	Acadl
chr7	19575594	19577594	+	ENSMUSG00000048481	Mypop
chr5	72949923	72951923	-	ENSMUSG00000072889	Nfxl1
chr6	41492222	41494222	+	ENSMUSG00000076494	Trbj2-3
chr6	48575763	48577763	+	ENSMUSG00000053297	AI854703
chr6	21164503	21166503	+	ENSMUSG00000060882	Kcnd2
chr19	41903658	41905658	+	ENSMUSG00000067199	Frat1
chr1	13116244	13118244	-	ENSMUSG00000042414	Prdm14
chr4	15940035	15942035	-	ENSMUSG00000041153	Osgin2
chr4	119958954	119960954	-	ENSMUSG00000052135	Foxo6
chr11	37048466	37050466	-	ENSMUSG00000049336	Odz2
chr11	95448049	95450049	-	ENSMUSG00000000120	Ngfr
chr7	149265592	149267592	-	ENSMUSG00000043186	Dusp8
chr1	145850291	145852291	-	ENSMUSG00000026360	Rgs2
chr6	41492361	41494361	+	ENSMUSG00000076495	Trbj2-4
chrX	136405216	136407216	-	ENSMUSG00000031434	Morc4
chr8	116728512	116730512	+	ENSMUSG00000046844	Vat1l
chr7	86197209	86199209	-	ENSMUSG00000087186	Gm16936
chr11	53792834	53794834	-	ENSMUSG00000063652	Slc22a21
chr1	75370872	75372872	+	ENSMUSG00000026207	Speg
chr10	51396562	51398562	+	ENSMUSG00000019900	Rfx6
chr5	9265118	9267118	+	ENSMUSG00000056004	9330182L06Rik
chr8	85912766	85914766	+	ENSMUSG00000002190	Clgn
chr18	37643675	37645675	+	ENSMUSG00000046387	Pcdhb17
chr5	150820250	150822250	+	ENSMUSG00000053368	Rxfp2
chr8	109033791	109035791	+	ENSMUSG00000061048	Cdh3
chr13	45173061	45175061	+	ENSMUSG00000047061	Gm9817
chr5	91187325	91189325	+	ENSMUSG00000029371	Cxcl5
chr6	99615791	99617791	-	ENSMUSG00000030068	Gm20696
chr6	54379215	54381215	-	ENSMUSG00000073067	9130019P16Rik
chr6	83390672	83392672	-	ENSMUSG00000034832	Tet3
chr9	30749147	30751147	+	ENSMUSG00000031994	Adamts8
chr15	97595980	97597980	+	ENSMUSG00000087397	Gm16256
chr11	115182355	115184355	-	ENSMUSG00000045288	Ush1g
chr9	122202492	122204492	-	ENSMUSG00000037949	Ano10
chr13	105652973	105654973	-	ENSMUSG00000042655	Fam159b
chr16	17576091	17578091	-	ENSMUSG00000022756	Slc7a4
chr6	41492452	41494452	+	ENSMUSG00000076496	Trbj2-5
chr11	16951384	16953384	-	ENSMUSG00000020120	Plek
chr3	27836602	27838602	+	ENSMUSG00000027695	Pld1
chr16	38741377	38743377	+	ENSMUSG00000022793	B4galt4
chr2	70954980	70956980	+	ENSMUSG00000027015	Cybrd1
chr3	124022955	124024955	+	ENSMUSG00000044528	Tram1l1
chr11	108204242	108206242	-	ENSMUSG00000050965	Prkca
chr8	80041014	80043014	+	ENSMUSG00000091247	Gm16529
chr14	21654884	21656884	+	ENSMUSG00000021822	Plau
chr1	125940400	125942400	+	ENSMUSG00000073586	Gm10543
chr11	43341286	43343286	+	ENSMUSG00000044707	Ccnjl
chr14	16269137	16271137	+	ENSMUSG00000090616	Gm17628
chr8	24259057	24261057	-	ENSMUSG00000086741	Gm15816
chr7	57229234	57231234	+	ENSMUSG00000055409	Nell1
chr6	82983167	82985167	+	ENSMUSG00000000693	Loxl3
chr2	167362695	167364695	+	ENSMUSG00000042821	Snai1
chr15	73669129	73671129	-	ENSMUSG00000072487	Gm628
chr6	101326891	101328891	-	ENSMUSG00000035357	Pdzrn3
chr10	41737248	41739248	-	ENSMUSG00000071324	Armc2
chr16	36561227	36563227	-	ENSMUSG00000051980	Casr
chr4	115562271	115564271	+	ENSMUSG00000034185	6430628N08Rik
chr7	31249610	31251610	-	ENSMUSG00000087009	Nphs1as
chr5	107830755	107832755	+	ENSMUSG00000033805	Ephx4
chr16	89570428	89572428	-	ENSMUSG00000091212	Krtap11-1
chr10	119825579	119827579	+	ENSMUSG00000090191	9230105E05Rik
chr3	37379414	37381414	+	ENSMUSG00000083696	Gm12563
chr3	89716084	89718084	-	ENSMUSG00000027947	Il6ra
chr13	47139106	47141106	-	ENSMUSG00000021376	Tpmt
chr3	53958979	53960979	+	ENSMUSG00000027748	Trpc4
chr10	57350787	57352787	+	ENSMUSG00000019876	Pkib
chr17	34528348	34530348	+	ENSMUSG00000083522	Gm15321
chr1	168309624	168311624	-	ENSMUSG00000089853	Gm15853
chr5	113918772	113920772	+	ENSMUSG00000085571	Wscd2
chr2	31741811	31743811	+	ENSMUSG00000026840	Lamc3
chr12	33062569	33064569	+	ENSMUSG00000090946	2010109K11Rik
chr1	99991223	99993223	-	ENSMUSG00000026335	Pam
chr14	32248264	32250264	-	ENSMUSG00000021892	Sh3bp5
chr19	38117067	38119067	-	ENSMUSG00000048612	Myof
chr6	83711638	83713638	+	ENSMUSG00000014747	Ankrd53
chr14	30821209	30823209	+	ENSMUSG00000015970	Chdh
chr11	32825160	32827160	-	ENSMUSG00000085402	Gm12111
chr4	152855939	152857939	-	ENSMUSG00000039546	Ajap1
chr6	89311607	89313607	-	ENSMUSG00000030084	Plxna1
chr4	154229309	154231309	+	ENSMUSG00000046637	Ttc34
chr7	17529031	17531031	+	ENSMUSG00000070802	Pnmal2
chr7	52418291	52420291	+	ENSMUSG00000070570	Slc17a7
chr12	7983454	7985454	+	ENSMUSG00000020609	Apob
chr7	53434403	53436403	-	ENSMUSG00000040136	Abcc8
chr7	70588637	70590637	+	ENSMUSG00000033510	Otud7a
chr4	97987089	97989089	+	ENSMUSG00000046683	0610025J13Rik
chr11	5760950	5762950	+	ENSMUSG00000020473	Aebp1
chr7	71645592	71647592	+	ENSMUSG00000030519	Apba2
chr10	127102957	127104957	+	ENSMUSG00000040195	Tmem194
chr10	86469770	86471770	-	ENSMUSG00000035459	Stab2
chr17	37347812	37349812	-	ENSMUSG00000049561	Olfr95
chr19	41280264	41282264	-	ENSMUSG00000025013	Tll2
chr5	35867347	35869347	-	ENSMUSG00000036596	Cpz
chr12	109565240	109567240	-	ENSMUSG00000085954	4930478K11Rik
chr1	168183270	168185270	+	ENSMUSG00000040612	Ildr2
chr9	31270823	31272823	-	ENSMUSG00000041737	Tmem45b
chr4	154337232	154339232	+	ENSMUSG00000029056	Pank4
chr19	43513926	43515926	+	ENSMUSG00000025189	Cnnm1
chr12	16659276	16661276	+	ENSMUSG00000020591	Ntsr2
chr5	17079099	17081099	+	ENSMUSG00000028780	Sema3c
chr6	85372880	85374880	+	ENSMUSG00000068302	Noto
chr13	89679241	89681241	+	ENSMUSG00000021613	Hapln1
chr2	93173662	93175662	-	ENSMUSG00000027217	Tspan18
chr17	26088510	26090510	-	ENSMUSG00000025727	A930017K11Rik
chr8	26623126	26625126	+	ENSMUSG00000031565	Fgfr1
chr4	147503807	147505807	-	ENSMUSG00000029005	2610109H07Rik
chr15	77949136	77951136	+	ENSMUSG00000092375	A730060N03Rik
chr1	90101323	90103323	-	ENSMUSG00000081984	Dnajb3
chr11	90251231	90253231	-	ENSMUSG00000003949	Hlf
chr13	67963274	67965274	+	ENSMUSG00000064063	BC048507
chr18	37594275	37596275	+	ENSMUSG00000043458	Pcdhb12
chr3	109945929	109947929	-	ENSMUSG00000050836	Ntng1
chr11	119088813	119090813	-	ENSMUSG00000039976	Tbc1d16
chr19	23521812	23523812	-	ENSMUSG00000033207	Mamdc2
chr8	70585185	70587185	-	ENSMUSG00000030465	Psd3
chr16	18775940	18777940	+	ENSMUSG00000041378	Cldn5
chr17	25607535	25609535	+	ENSMUSG00000024175	Tekt4
chr12	60195786	60197786	+	ENSMUSG00000035349	Mia2
chr2	25977740	25979740	-	ENSMUSG00000026932	Nacc2
chr12	81618903	81620903	-	ENSMUSG00000086966	Gm16866
chr6	121422696	121424696	-	ENSMUSG00000040797	Iqsec3
chrX	131498293	131500293	-	ENSMUSG00000009941	Nxf2
chr11	120096436	120098436	-	ENSMUSG00000085501	Gm11772
chr19	53213935	53215935	+	ENSMUSG00000025026	Add3
chr10	118304959	118306959	-	ENSMUSG00000028630	Dyrk2
chr12	119436516	119438516	-	ENSMUSG00000018581	Dnahc11
chr13	53075442	53077442	-	ENSMUSG00000056749	Nfil3
chr15	99868095	99870095	+	ENSMUSG00000023026	Dip2b
chr16	20732200	20734200	+	ENSMUSG00000006958	Chrd
chr5	131782948	131784948	-	ENSMUSG00000034040	Wbscr17
chr1	9787211	9789211	+	ENSMUSG00000025915	Sgk3
chr2	94080610	94082610	-	ENSMUSG00000065511	Mir129-2
chr10	67740474	67742474	-	ENSMUSG00000019947	Arid5b
chr1	58851218	58853218	+	ENSMUSG00000026029	Casp8
chr2	102740822	102742822	-	ENSMUSG00000005087	Cd44
chr9	50910215	50912215	-	ENSMUSG00000065587	Mir34c
chrX	143396056	143398056	+	ENSMUSG00000041380	Htr2c
chr5	139472324	139474324	-	ENSMUSG00000025856	Pdgfa
chr17	49702662	49704662	-	ENSMUSG00000040260	Daam2
chr17	69787644	69789644	-	ENSMUSG00000085144	A930029G22Rik
chr4	41585411	41587411	+	ENSMUSG00000084761	Gm12406
chr3	108742363	108744363	-	ENSMUSG00000051638	Gm9857
chr3	67177019	67179019	+	ENSMUSG00000048416	Mlf1
chr2	6050257	6052257	-	ENSMUSG00000045319	5430407P10Rik
chr16	14905730	14907730	+	ENSMUSG00000068617	Efcab1
chr4	53791577	53793577	+	ENSMUSG00000028417	Tal2
chr11	76659520	76661520	-	ENSMUSG00000020841	Cpd
chr2	65076460	65078460	-	ENSMUSG00000034903	Cobll1
chr6	125329811	125331811	-	ENSMUSG00000038167	Plekhg6
chr18	59334055	59336055	+	ENSMUSG00000058152	Chsy3
chr6	17013996	17015996	-	ENSMUSG00000084772	Gm15473
chr16	10795979	10797979	-	ENSMUSG00000022501	Prm1
chr8	47236964	47238964	+	ENSMUSG00000086279	Gm15634
chr11	35793029	35795029	-	ENSMUSG00000018849	Wwc1
chr1	137583682	137585682	-	ENSMUSG00000090399	Nav1
chr8	11727105	11729105	+	ENSMUSG00000031511	Arhgef7
chr15	75396685	75398685	-	ENSMUSG00000022577	Ly6h
chr11	46124852	46126852	-	ENSMUSG00000020340	Cyfip2
chr17	24344806	24346806	+	ENSMUSG00000085185	BC028777
chr16	65104610	65106610	-	ENSMUSG00000050783	Htr1f
chr14	65205952	65207952	+	ENSMUSG00000091456	A930011O12Rik
chr9	96915385	96917385	+	ENSMUSG00000085541	Gm16010
chr4	112651418	112653418	-	ENSMUSG00000082678	Gm12818
chr14	22837934	22839934	+	ENSMUSG00000063458	1700112E06Rik
chr3	31047868	31049868	+	ENSMUSG00000037625	Cldn11
chr6	5247455	5249455	-	ENSMUSG00000032667	Pon2
chr18	20159598	20161598	-	ENSMUSG00000059898	Dsc3
chr4	151531976	151533976	+	ENSMUSG00000028940	Hes2
chr13	48965254	48967254	-	ENSMUSG00000038025	Phf2
chr12	54348664	54350664	+	ENSMUSG00000021010	Npas3
chr4	148959577	148961577	+	ENSMUSG00000039953	Clstn1
chr14	45478050	45480050	-	ENSMUSG00000071489	Ptgdr
chr12	120476275	120478275	-	ENSMUSG00000025321	Itgb8
chr4	136390903	136392903	-	ENSMUSG00000028664	Ephb2
chr2	118553174	118555174	-	ENSMUSG00000040061	Plcb2
chr17	24940327	24942327	+	ENSMUSG00000024155	4930528F23Rik
chr7	26153743	26155743	-	ENSMUSG00000063651	Cnfn
chr10	13193202	13195202	-	ENSMUSG00000062866	Phactr2
chr1	52556523	52558523	-	ENSMUSG00000002881	Nab1
chr2	60121545	60123545	-	ENSMUSG00000060703	Cd302
chr7	58765399	58767399	+	ENSMUSG00000055489	Ano5
chr1	72920458	72922458	-	ENSMUSG00000026185	Igfbp5
chr11	70352566	70354566	+	ENSMUSG00000020828	Pld2
chr2	177852680	177854680	+	ENSMUSG00000027525	Phactr3
chr1	168308228	168310228	+	ENSMUSG00000026563	Tada1
chr18	22502384	22504384	+	ENSMUSG00000045215	Asxl3
chr4	40418213	40420213	+	ENSMUSG00000046593	Tmem215
chr2	93173663	93175663	-	ENSMUSG00000023461	Tspan18
chr1	172573663	172575663	+	ENSMUSG00000038463	Olfml2b
chr13	119503203	119505203	-	ENSMUSG00000086709	Gm16263
chr8	46417570	46419570	-	ENSMUSG00000079057	Cyp4v3
chr3	89084064	89086064	-	ENSMUSG00000027954	Efna1
chr11	55420700	55422700	-	ENSMUSG00000000263	Glra1
chr6	38612069	38614069	+	ENSMUSG00000079598	Clec2l
chr9	99257949	99259949	-	ENSMUSG00000037681	Esyt3
chr18	40415616	40417616	+	ENSMUSG00000071860	2900055J20Rik
chr6	99615765	99617765	-	ENSMUSG00000093661	Eif4e3
chr8	118227978	118229978	+	ENSMUSG00000086717	Gm15655
chrX	72477402	72479402	+	ENSMUSG00000083736	Gm6039
chr10	74428922	74430922	+	ENSMUSG00000040009	Gnaz
chr4	129661114	129663114	+	ENSMUSG00000028782	Bai2
chr1	186634192	186636192	-	ENSMUSG00000026621	Mosc1
chr12	107684876	107686876	-	ENSMUSG00000092066	1700121N20Rik
chr4	57002263	57004263	-	ENSMUSG00000045589	6430704M03Rik
chr11	30784358	30786358	+	ENSMUSG00000043999	Gpr75
chr19	4509472	4511472	+	ENSMUSG00000024892	Pcx
chr9	44095698	44097698	-	ENSMUSG00000032131	Abcg4
chr1	136604877	136606877	+	ENSMUSG00000026452	Syt2
chr2	90724943	90726943	+	ENSMUSG00000040794	C1qtnf4
chr19	10115038	10117038	+	ENSMUSG00000024664	Fads3
chr1	107676300	107678300	+	ENSMUSG00000026321	Tnfrsf11a
chr3	117062794	117064794	-	ENSMUSG00000044667	D3Bwg0562e
chr14	122888808	122890808	+	ENSMUSG00000075465	Gm10837
chr13	24025331	24027331	+	ENSMUSG00000060081	Hist1h2aa
chr2	58209306	58211306	-	ENSMUSG00000026834	Acvr1c
chr10	122700132	122702132	+	ENSMUSG00000044071	Fam19a2
chr12	71327828	71329828	+	ENSMUSG00000085298	F730035M05Rik
chr3	84396496	84398496	+	ENSMUSG00000047819	Tigd4
chr2	51789683	51791683	-	ENSMUSG00000036249	Rbm43
chr4	46050807	46052807	+	ENSMUSG00000028328	Tmod1
chr11	79524471	79526471	+	ENSMUSG00000065395	Mir193
chr7	150687446	150689446	-	ENSMUSG00000010760	Phlda2
chr2	25250394	25252394	+	ENSMUSG00000015085	Entpd2
chr2	152776434	152778434	-	ENSMUSG00000042662	Dusp15
chr5	91331897	91333897	+	ENSMUSG00000058427	Cxcl2
chr1	9897719	9899719	+	ENSMUSG00000046101	6030422M02Rik
chr16	67620153	67622153	-	ENSMUSG00000064115	Cadm2
chr10	128082047	128084047	-	ENSMUSG00000002578	Ikzf4
chr18	36885390	36887390	-	ENSMUSG00000051439	Cd14
chr17	57417523	57419523	+	ENSMUSG00000034116	Vav1
chr5	137042360	137044360	-	ENSMUSG00000029705	Cux1
chr13	55253001	55255001	+	ENSMUSG00000005320	Fgfr4
chr3	67178085	67180085	-	ENSMUSG00000090408	Gm17402
chr12	109543480	109545480	+	ENSMUSG00000021260	Hhipl1
chr9	50910750	50912750	-	ENSMUSG00000065492	Mir34b
chr2	34768546	34770546	-	ENSMUSG00000026873	Phf19
chr1	33963661	33965661	-	ENSMUSG00000042182	Bend6
chr15	66116786	66118786	-	ENSMUSG00000056258	Kcnq3
chr6	48689620	48691620	-	ENSMUSG00000044867	Gm3345
chr3	63766555	63768555	+	ENSMUSG00000091540	Gm17548
chr7	73253401	73255401	+	ENSMUSG00000032640	Chsy1
chr6	99641673	99643673	+	ENSMUSG00000072875	Gpr27
chr17	15671568	15673568	-	ENSMUSG00000091229	Gm7177
chr17	71530900	71532900	+	ENSMUSG00000024052	Lpin2
chr7	119368370	119370370	+	ENSMUSG00000038244	Mical2
chr19	47992777	47994777	-	ENSMUSG00000044948	Wdr96
chr17	85074642	85076642	+	ENSMUSG00000024254	Abcg8
chr8	107778053	107780053	-	ENSMUSG00000069920	B3gnt9-ps
chr6	21934916	21936916	+	ENSMUSG00000062980	A430107O13Rik
chr2	179833618	179835618	+	ENSMUSG00000090589	Gm17180
chr15	80500783	80502783	+	ENSMUSG00000022408	Fam83f
chr11	120581784	120583784	+	ENSMUSG00000018012	Rac3
chr1	43008719	43010719	+	ENSMUSG00000079587	Gpr45
chr17	36220168	36222168	-	ENSMUSG00000073406	H2-Bl
chr12	113857258	113859258	+	ENSMUSG00000011148	Adssl1
chr3	95798924	95800924	-	ENSMUSG00000015745	Plekho1
chr17	25945030	25947030	+	ENSMUSG00000025738	Fbxl16
chr17	35560795	35562795	+	ENSMUSG00000073409	H2-Q6
chr6	51381669	51383669	+	ENSMUSG00000029832	Nfe2l3
chr2	35110927	35112927	+	ENSMUSG00000026879	Gsn
chr6	29684694	29686694	+	ENSMUSG00000001761	Smo
chr8	107787509	107789509	-	ENSMUSG00000031887	Tradd
chr9	114752270	114754270	-	ENSMUSG00000041012	Cmtm8
chr8	95350227	95352227	+	ENSMUSG00000031740	Mmp2
chr2	122436039	122438039	-	ENSMUSG00000027199	Gatm
chr14	104048445	104050445	+	ENSMUSG00000055717	Slain1
chr4	128559824	128561824	+	ENSMUSG00000041000	Trim62
chr17	34350404	34352404	-	ENSMUSG00000081512	Gm15821
chr5	115878608	115880608	+	ENSMUSG00000054256	Msi1
chr13	41174075	41176075	-	ENSMUSG00000021363	Mak
chr3	89634292	89636292	+	ENSMUSG00000046280	She
chr19	29037410	29039410	+	ENSMUSG00000040105	Ppapdc2
chr1	57830006	57832006	+	ENSMUSG00000038305	Spats2l
chr14	66571581	66573581	-	ENSMUSG00000034463	Scara3
chr5	151396100	151398100	-	ENSMUSG00000041132	N4bp2l1
chr19	7686031	7688031	+	ENSMUSG00000024973	Hrasls5
chr13	23404269	23406269	-	ENSMUSG00000085488	4930557F10Rik
chr7	149488407	149490407	+	ENSMUSG00000045236	Krtap5-4
chr1	138154984	138156984	+	ENSMUSG00000091737	Gm17543
chr1	193540713	193542713	+	ENSMUSG00000026623	Lpgat1
chr19	34265719	34267719	+	ENSMUSG00000024776	Stambpl1
chr6	42273642	42275642	-	ENSMUSG00000029861	Fam131b
chr5	145521518	145523518	-	ENSMUSG00000043388	Tmem130
chr9	54133293	54135293	+	ENSMUSG00000046167	Gldn
chr6	99675386	99677386	-	ENSMUSG00000030069	Prok2
chr5	15438224	15440224	-	ENSMUSG00000090511	Gm3510
chr1	127808678	127810678	-	ENSMUSG00000026344	Lypd1
chr18	36356034	36358034	-	ENSMUSG00000060275	Nrg2
chr4	12098162	12100162	-	ENSMUSG00000028218	Fam92a
chr16	35870630	35872630	-	ENSMUSG00000034422	Parp14
chrX	156425365	156427365	+	ENSMUSG00000031303	Map3k15
chr10	39087661	39089661	+	ENSMUSG00000019843	Fyn
chr17	34323498	34325498	+	ENSMUSG00000037321	Tap1
chr5	23336715	23338715	-	ENSMUSG00000086697	4933427G23Rik
chr4	132767046	132769046	+	ENSMUSG00000028865	Cd164l2
chr3	33041169	33043169	-	ENSMUSG00000027674	Pex5l
chr10	74868656	74870656	+	ENSMUSG00000033427	Upb1
chr11	115127557	115129557	-	ENSMUSG00000020734	Grin2c
chr19	24935345	24937345	-	ENSMUSG00000041731	Pgm5
chr17	87681154	87683154	-	ENSMUSG00000085287	4833418N02Rik
chr7	127740139	127742139	+	ENSMUSG00000044141	E130201H02Rik
chr10	106930785	106932785	-	ENSMUSG00000035923	Myf6
chr3	28679233	28681233	+	ENSMUSG00000050192	Eif5a2
chr15	42506806	42508806	+	ENSMUSG00000091009	Gm17473
chr7	126326888	126328888	-	ENSMUSG00000066197	Gpr139
chr13	70979689	70981689	-	ENSMUSG00000049538	Adamts16
chr16	77013314	77015314	+	ENSMUSG00000022867	Usp25
chr6	17412800	17414800	+	ENSMUSG00000009376	Met
chr13	118390287	118392287	+	ENSMUSG00000021730	Hcn1
chr2	180623365	180625365	-	ENSMUSG00000086166	Gm14342
chr3	88754103	88756103	-	ENSMUSG00000068921	Dap3
chr6	82982465	82984465	-	ENSMUSG00000068335	Dok1
chr2	93026705	93028705	+	ENSMUSG00000068735	Trp53i11
chr15	44618609	44620609	-	ENSMUSG00000022340	Sybu
chr3	105506517	105508517	+	ENSMUSG00000048458	6530418L21Rik
chr18	33097695	33099695	+	ENSMUSG00000038128	Camk4
chr5	66325160	66327160	+	ENSMUSG00000029205	Chrna9
chr7	116924539	116926539	-	ENSMUSG00000034825	Nrip3
chr9	45076232	45078232	-	ENSMUSG00000032089	Il10ra
chr9	40681210	40683210	+	ENSMUSG00000054360	Bsx
chr7	51052315	51054315	-	ENSMUSG00000085370	2310002F09Rik
chr9	90056816	90058816	+	ENSMUSG00000032363	Adamts7
chr8	86534341	86536341	-	ENSMUSG00000074217	2210011C24Rik
chr1	25885552	25887552	-	ENSMUSG00000033569	Bai3
chr3	8666039	8668039	-	ENSMUSG00000040289	Hey1
chr5	35620215	35622215	+	ENSMUSG00000045318	Adra2c
chr13	55588472	55590472	-	ENSMUSG00000034675	Dbn1
chr2	152856588	152858588	+	ENSMUSG00000042631	Xkr7
chr19	47992789	47994789	-	ENSMUSG00000079254	Itprip
chr3	107988253	107990253	+	ENSMUSG00000050947	Amigo1
chr8	72606428	72608428	+	ENSMUSG00000007594	Hapln4
chr10	72561202	72563202	+	ENSMUSG00000046980	Pcdh15
chr15	30101348	30103348	+	ENSMUSG00000022240	Ctnnd2
chr17	74058793	74060793	-	ENSMUSG00000024064	Galnt14
chr6	91927872	91929872	+	ENSMUSG00000034037	Fgd5
chr1	24106180	24108180	-	ENSMUSG00000026153	Fam135a
chr9	106367271	106369271	-	ENSMUSG00000091735	Gpr62
chr11	32431081	32433081	-	ENSMUSG00000044056	Efcab9
chr17	34114733	34116733	-	ENSMUSG00000067203	H2-K2
chrX	163646247	163648247	-	ENSMUSG00000049775	Tmsb4x
chr5	36739788	36741788	-	ENSMUSG00000029093	Sorcs2
chr4	103290964	103292964	+	ENSMUSG00000028519	Dab1
chr11	121690417	121692417	-	ENSMUSG00000085970	Gm15643
chr2	74591512	74593512	+	ENSMUSG00000086559	Gm14426
chr7	129431265	129433265	+	ENSMUSG00000052889	Prkcb
chr2	28771188	28773188	-	ENSMUSG00000026805	Barhl1
chr7	29331273	29333273	-	ENSMUSG00000047586	Nccrp1
chr6	144729497	144731497	-	ENSMUSG00000041540	Sox5
chr6	125298380	125300380	+	ENSMUSG00000030341	Tnfrsf1a
chr11	101827329	101829329	-	ENSMUSG00000001494	Sost
chr17	12933177	12935177	+	ENSMUSG00000078247	Airn
chr1	185856453	185858453	-	ENSMUSG00000044854	1700056E22Rik
chr5	152035411	152037411	-	ENSMUSG00000016128	Stard13
chr2	63021344	63023344	-	ENSMUSG00000059742	Kcnh7
chr10	13587786	13589786	-	ENSMUSG00000019806	Aig1
chr7	139345422	139347422	-	ENSMUSG00000030862	Cpxm2
chr10	26093991	26095991	-	ENSMUSG00000039089	L3mbtl3
chr5	72048547	72050547	-	ENSMUSG00000029211	Gabra4
chr14	46998089	47000089	+	ENSMUSG00000079261	Gm15217
chr17	27791454	27793454	+	ENSMUSG00000040276	Pacsin1
chr2	105842493	105844493	+	ENSMUSG00000086131	BC048594
chr12	112668157	112670157	-	ENSMUSG00000072830	Gm10425
chr6	5674639	5676639	+	ENSMUSG00000029757	Dync1i1
chr5	53439426	53441426	-	ENSMUSG00000090642	Gm17182
chr5	113918467	113920467	+	ENSMUSG00000063430	Wscd2
chr17	69787666	69789666	+	ENSMUSG00000091636	A330050F15Rik
chr11	95374884	95376884	-	ENSMUSG00000046719	Nxph3
chr6	41492809	41494809	+	ENSMUSG00000076497	Trbj2-7
chr8	116371641	116373641	-	ENSMUSG00000053399	Adamts18
chrX	49966127	49968127	-	ENSMUSG00000055653	Gpc3
chr12	71211912	71213912	-	ENSMUSG00000021068	Nin
chr2	120070071	120072071	-	ENSMUSG00000050211	Pla2g4e
chr1	95131418	95133418	+	ENSMUSG00000047793	Sned1
chr11	109582593	109584593	-	ENSMUSG00000020614	Fam20a
chr17	34136278	34138278	-	ENSMUSG00000061232	H2-K1
chr2	170556307	170558307	+	ENSMUSG00000027560	Dok5
chr15	26824273	26826273	-	ENSMUSG00000043556	Fbxl7
chr17	15512836	15514836	-	ENSMUSG00000014773	Dll1
chr3	63646038	63648038	+	ENSMUSG00000085290	Gm16129
chr4	47220331	47222331	-	ENSMUSG00000087500	Gm12426
chr4	131630236	131632236	-	ENSMUSG00000028906	Epb4.1
chr19	37759071	37761071	+	ENSMUSG00000062432	Cyp26c1
chr15	98636463	98638463	+	ENSMUSG00000085373	B130046B21Rik
chr6	124945712	124947712	+	ENSMUSG00000030329	C530028O21Rik
chr14	70856283	70858283	+	ENSMUSG00000003469	Phyhip
chr6	13788942	13790942	-	ENSMUSG00000048216	Gpr85
chr11	87910560	87912560	+	ENSMUSG00000087498	2210416O15Rik
chr5	138713068	138715068	-	ENSMUSG00000075593	Gal3st4
chr1	137714175	137716175	+	ENSMUSG00000041782	Lad1
chr11	92958342	92960342	+	ENSMUSG00000056158	Car10
chr6	36339191	36341191	-	ENSMUSG00000073154	9330158H04Rik
chr2	121631823	121633823	-	ENSMUSG00000027238	Frmd5
chr1	33964125	33966125	+	ENSMUSG00000026131	Dst
chr5	75344219	75346219	+	ENSMUSG00000072874	Gm6116
chr9	107300943	107302943	+	ENSMUSG00000010066	Cacna2d2
chr18	67246990	67248990	+	ENSMUSG00000024524	Gnal
chr9	20969158	20971158	+	ENSMUSG00000032177	Pde4a
chr9	14544177	14546177	-	ENSMUSG00000036912	Piwil4
chr3	101727376	101729376	-	ENSMUSG00000033147	Slc22a15
chr7	30016541	30018541	-	ENSMUSG00000046410	Kcnk6
chr15	89671291	89673291	-	ENSMUSG00000063260	Syt10
chr19	34820779	34822779	-	ENSMUSG00000009378	Slc16a12
chr15	60655635	60657635	-	ENSMUSG00000072568	Fam84b
chr18	58995418	58997418	+	ENSMUSG00000053441	Adamts19
chr6	135311949	135313949	+	ENSMUSG00000030208	Emp1
chr2	61639987	61641987	+	ENSMUSG00000035033	Tbr1
chr10	60293329	60295329	-	ENSMUSG00000020099	Unc5b
chr1	15276340	15278340	+	ENSMUSG00000092083	Kcnb2
